,Brand_name,Brand_detail_name,prices,RAM,Storage,Has_ssd,Core,Gen,Discount_Percentage,Operating_System,Warranty_Period,Space_Score
919,Asus,Asus Zenbook 14 Flip OLED 2023 UP3404VA-KN753WS Laptop ,114990,16,1024,1,i7,13,11.0,11,1,0
920,Dell,Dell Inspiron 3525 D560771WIN9S Laptop ,44990,8,512,1,,,,11,1,0
921,Asus,Asus VivoBook 14 2023 X1404VA-NK522WS Laptop ,55990,8,512,1,i5,13,4.0,11,1,56
922,Asus,Asus Zenbook 14 OLED 2023 UX3402VA-KM541WS Laptop ,89990,16,512,1,i5,13,1.0,11,1,0
923,MSI,MSI Pulse 15 B13VFK-293IN Gaming Laptop ,126990,16,1024,1,i7,13,4.0,11,1,0
924,Asus,Asus Zenbook S13 OLED 2023 UX5304VA-NQ542WS Laptop ,95800,16,512,1,i5,13,9.0,11,1,0
925,Asus,Asus Vivobook 15 2023 X1504VA-NJ324WS Laptop ,42990,8,512,1,i3,13,1.0,11,1,59
926,Asus,Asus Vivobook 16 2023 X1605VAB-MB322WS Laptop ,47990,8,512,1,i3,13,8.0,11,1,50
927,Asus,Asus Zenbook 14 OLED 2023 UX3402VA-KM742WS Laptop ,97990,16,512,1,i7,13,10.0,11,1,0
928,Asus,Asus Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop ,83690,16,512,1,i5,13,2.0,11,1,0
929,Asus,Asus Vivobook S14 Flip 2022 TN3402QA-LZ520WS Laptop ,58990,8,512,1,,,,11,1,0
930,Lenovo,Lenovo V15 82QYA00MIN Laptop ,22990,8,256,1,,,1.0,11,1,47
931,Gigabyte,Gigabyte Aorus 17 BSF Gaming Laptop ,169990,16,1024,1,i7,13,,11,1,0
932,HP,HP 255 G9 7B1L8PA Laptop ,44500,8,512,1,,,17.0,11,1,0
933,HP,HP Spectre x360 16-f2002TU Laptop ,145899,16,1024,1,i7,13,,11,1,0
934,HP,HP Spectre x360 2023 13.5-ef2033TU Laptop ,138490,16,1024,1,i7,13,2.0,11,1,0
935,Dell,Dell Vostro 3420 D552317WIN9B Laptop ,49000,8,512,1,i5,12,9.0,11,1,59
936,HP,HP Spectre x360 16-f2005TX Laptop ,184500,32,1024,1,i7,13,4.0,11,1,0
937,Huawei,Huawei MateBook D16 2023 Laptop ,84999,8,512,1,i5,13,,11,1,0
938,Huawei,Huawei MateBook D14 2023 Laptop ,58999,16,512,1,i5,13,,11,1,0
939,MSI,MSI Titan GT77 HX 13VH-093IN Gaming Laptop ,388990,64,2048,1,i9,13,,11,1,0
940,‎Lenovo,‎Lenovo V15 G2 IJL 82QYA00HIN Laptop ,21480,8,256,1,,,3.0,11,1,43
941,Acer,Acer Aspire 7 A715-75G Gaming Laptop ,45990,8,512,1,i5,10,3.0,11,1,59
